epoch,stage,train_loss,val_loss,lr
1,stage1_frozen_encoder,5.128125,4.290943,0.00029940
2,stage1_frozen_encoder,4.128695,4.014004,0.00029462
3,stage1_frozen_encoder,3.898968,3.897946,0.00028518
4,stage1_frozen_encoder,3.761479,3.833321,0.00027139
5,stage1_frozen_encoder,3.660250,3.795471,0.00025371
6,stage1_frozen_encoder,3.578545,3.776414,0.00023268
7,stage1_frozen_encoder,3.509809,3.762765,0.00020900
8,stage1_frozen_encoder,3.449726,3.755270,0.00018343
9,stage1_frozen_encoder,3.397747,3.749739,0.00015677
10,stage1_frozen_encoder,3.352761,3.750573,0.00012990
11,stage1_frozen_encoder,3.314600,3.751101,0.00010368
12,stage1_frozen_encoder,3.280789,3.751850,0.00007895
13,stage1_frozen_encoder,3.253634,3.752185,0.00005650
14,stage1_frozen_encoder,3.231796,3.752395,0.00003705
15,stage1_frozen_encoder,3.215684,3.750404,0.00002124
16,stage1_frozen_encoder,3.204220,3.751853,0.00000957
17,stage1_frozen_encoder,3.197333,3.755058,0.00000241
18,stage1_frozen_encoder,3.194006,3.752540,0.00000000
19,stage2_finetune_last_stage,3.268515,3.761658,0.00029862
20,stage2_finetune_last_stage,3.251791,3.759164,0.00028763
21,stage2_finetune_last_stage,3.185941,3.768798,0.00026642
22,stage2_finetune_last_stage,3.123540,3.778969,0.00023658
23,stage2_finetune_last_stage,3.065527,3.784279,0.00020031
24,stage2_finetune_last_stage,3.009337,3.798573,0.00016031
25,stage2_finetune_last_stage,2.959767,3.807224,0.00011954
26,stage2_finetune_last_stage,2.916260,3.817314,0.00008103
27,stage2_finetune_last_stage,2.879682,3.825152,0.00004764
28,stage2_finetune_last_stage,2.852740,3.827476,0.00002185
29,stage2_finetune_last_stage,2.834289,3.829917,0.00000557
30,stage2_finetune_last_stage,2.826012,3.831895,0.00000000
